id,company,gender,salary,position_level,performance_score,work_hours_per_week,experience_years,has_certifications,promoted
55,0,1,67000.0,0,4.0,35.0,6.0,False,True
56,1,1,81000.0,2,4.0,45.0,15.0,True,True
57,1,0,68000.0,2,3.0,22.0,12.0,False,True
58,0,1,95000.0,1,10.0,35.0,28.0,False,True
59,0,1,79000.0,0,6.0,34.0,20.0,False,True
60,4,1,75000.0,0,6.0,45.0,12.0,True,True
61,2,1,80000.0,2,4.0,36.0,19.0,True,True
62,1,0,85000.0,1,5.0,38.0,-33.0,False,True
63,0,1,88000.0,2,7.0,55.0,6.0,True,True
64,3,0,68000.0,2,3.0,45.0,6.0,True,True
66,2,0,72000.0,0,7.0,29.0,4.0,False,True
67,4,0,69000.0,1,4.0,20.0,8.0,True,True
68,4,1,81000.0,1,8.0,50.0,2.0,True,True
69,2,1,86000.0,2,8.0,45.0,3.0,False,True
70,3,0,83000.0,0,2.0,29.0,44.0,False,True
71,3,1,77000.0,0,5.0,52.0,1.0,True,True
72,0,1,96000.0,2,9.0,31.0,24.0,False,True
73,2,0,86000.0,2,7.0,56.0,16.0,False,True
74,2,1,82000.0,1,4.0,44.0,17.0,True,True
75,0,0,71000.0,2,1.0,56.0,6.0,False,True
77,0,0,75000.0,0,9.0,34.0,-8.0,True,True
78,2,1,94000.0,0,10.0,46.0,22.0,True,True
79,0,1,65000.0,1,1.0,24.0,2.0,True,True
80,3,1,71000.0,0,2.0,33.0,17.0,False,True
81,3,0,86000.0,2,8.0,33.0,15.0,True,True
83,2,1,82000.0,0,6.0,32.0,27.0,True,True
84,2,1,80000.0,2,5.0,57.0,9.0,True,True
85,1,0,75000.0,1,5.0,27.0,3.0,False,True
86,3,0,80000.0,0,10.0,53.0,0.0,True,True
87,3,1,74000.0,1,2.0,36.0,0.0,True,True
88,1,0,81000.0,2,4.0,58.0,13.0,True,True
89,1,1,74000.0,2,4.0,57.0,4.0,True,True
90,3,1,74000.0,2,2.0,60.0,17.0,False,True
91,4,1,74000.0,0,3.0,47.0,5.0,True,True
92,3,1,83000.0,0,10.0,46.0,2.0,False,True
93,4,1,67000.0,1,1.0,27.0,4.0,False,True
94,3,0,84000.0,2,4.0,53.0,19.0,True,True
95,3,1,78000.0,2,6.0,48.0,5.0,False,True
96,1,0,82000.0,1,9.0,56.0,2.0,False,True
97,4,1,86000.0,0,9.0,45.0,24.0,True,True
98,3,1,78000.0,1,6.0,51.0,0.0,True,True
99,1,1,0.0,0,4.0,30.0,4.0,False,True
100,1,0,63000.0,0,1.0,32.0,1.0,False,True
102,0,0,87000.0,2,8.0,35.0,-6.0,True,True
103,0,1,73000.0,2,3.0,53.0,14.0,False,True
104,3,1,73000.0,1,2.0,60.0,4.0,True,True
105,0,1,64000.0,0,3.0,51.0,0.0,True,True
106,1,0,90000.0,2,10.0,33.0,10.0,False,True
107,1,1,97000.0,2,8.0,25.0,22.0,True,True
108,2,1,87000.0,2,10.0,57.0,1.0,True,True
109,3,1,82000.0,2,7.0,55.0,6.0,False,True
110,2,0,70000.0,2,2.0,24.0,4.0,False,True
111,0,1,79000.0,0,7.0,49.0,22.0,False,True
112,0,1,87000.0,0,10.0,31.0,10.0,False,True
113,3,0,66000.0,1,2.0,41.0,7.0,True,True
115,4,1,76000.0,0,5.0,33.0,7.0,True,True
116,0,0,75000.0,1,6.0,57.0,4.0,False,True
117,1,1,76000.0,0,6.0,53.0,11.0,True,True
118,1,0,63000.0,1,1.0,34.0,3.0,True,True
119,1,0,0.0,2,1.0,20.0,4.0,False,True
120,0,1,75000.0,2,1.0,20.0,25.0,True,True
121,1,1,66000.0,0,2.0,57.0,1.0,False,True
122,4,0,61000.0,0,1.0,45.0,9.0,False,True
123,4,1,80000.0,0,8.0,26.0,17.0,False,True
124,0,0,80000.0,1,9.0,30.0,2.0,False,True
125,3,0,59000.0,0,1.0,50.0,4.0,True,True
126,0,1,66000.0,0,3.0,43.0,0.0,True,True
128,1,0,71000.0,0,3.0,48.0,14.0,False,True
129,3,0,73000.0,0,4.0,43.0,-16.0,False,True
130,3,1,95000.0,2,8.0,42.0,19.0,False,True
131,0,1,78000.0,0,7.0,42.0,1.0,True,True
132,1,1,79000.0,1,3.0,58.0,16.0,True,True
133,4,1,69000.0,1,1.0,59.0,2.0,True,True
134,3,0,104000.0,1,7.0,36.0,44.0,False,True
135,2,1,73000.0,0,5.0,23.0,2.0,False,True
136,2,0,0.0,2,10.0,45.0,-19.0,False,True
137,0,0,70000.0,2,1.0,35.0,4.0,True,True
138,4,0,66000.0,1,2.0,40.0,1.0,False,True
139,0,1,72000.0,0,7.0,27.0,1.0,False,True
140,2,1,0.0,1,1.0,52.0,-11.0,True,True
141,3,1,81000.0,0,9.0,40.0,0.0,True,True
142,0,0,95000.0,2,10.0,41.0,21.0,True,True
143,2,1,79000.0,2,3.0,58.0,9.0,False,True
144,3,0,86000.0,2,7.0,51.0,16.0,True,True
145,2,0,72000.0,1,3.0,44.0,-4.0,False,True
146,1,1,66000.0,1,2.0,47.0,7.0,True,True
147,2,0,83000.0,2,8.0,20.0,11.0,True,True
148,4,1,87000.0,0,8.0,34.0,22.0,True,True
149,4,1,72000.0,2,1.0,31.0,4.0,False,True
150,4,1,84000.0,1,9.0,41.0,2.0,True,True
151,2,1,82000.0,2,5.0,23.0,0.0,False,True
152,2,0,84000.0,2,7.0,40.0,3.0,True,True
153,4,0,70000.0,0,5.0,24.0,0.0,True,True
155,0,1,77000.0,1,7.0,49.0,2.0,True,True
156,1,0,66000.0,0,4.0,49.0,1.0,True,True
157,4,0,78000.0,0,5.0,26.0,23.0,False,True
159,3,1,0.0,1,4.0,36.0,6.0,False,True
160,3,0,78000.0,1,3.0,53.0,18.0,True,True
161,2,1,92000.0,1,9.0,43.0,19.0,False,True
162,1,0,78000.0,1,5.0,48.0,12.0,False,True
163,3,1,78000.0,1,1.0,20.0,31.0,True,True
164,3,1,96000.0,2,6.0,57.0,27.0,False,True
165,1,0,87000.0,2,10.0,41.0,8.0,True,True
166,2,0,106000.0,2,10.0,21.0,38.0,False,True
167,0,1,77000.0,2,6.0,22.0,2.0,True,True
168,3,0,63000.0,1,1.0,55.0,1.0,True,True
169,3,0,75000.0,1,8.0,21.0,1.0,True,True
170,3,0,92000.0,2,10.0,55.0,4.0,True,True
172,2,1,102000.0,2,10.0,55.0,23.0,False,True
173,3,0,81000.0,1,9.0,41.0,1.0,True,True
174,2,0,84000.0,0,9.0,48.0,14.0,True,True
175,3,1,68000.0,0,1.0,48.0,25.0,False,True
176,0,0,71000.0,0,6.0,55.0,4.0,True,True
177,3,1,87000.0,0,8.0,40.0,27.0,True,True
178,3,0,61000.0,0,1.0,24.0,15.0,False,True
179,3,0,75000.0,1,2.0,37.0,15.0,True,True
180,1,0,65000.0,2,1.0,58.0,3.0,True,True
181,1,0,83000.0,2,8.0,54.0,0.0,True,True
182,3,0,80000.0,1,9.0,23.0,11.0,True,True
183,4,1,80000.0,0,10.0,43.0,5.0,False,True
184,2,1,77000.0,1,2.0,60.0,22.0,False,True
185,2,1,79000.0,1,6.0,29.0,4.0,True,True
186,3,1,87000.0,2,6.0,57.0,10.0,False,True
187,4,1,81000.0,0,10.0,33.0,10.0,False,True
188,2,0,68000.0,0,5.0,50.0,3.0,False,True
189,1,1,76000.0,1,1.0,38.0,-25.0,False,True
190,4,1,86000.0,0,10.0,52.0,5.0,True,True
191,3,1,81000.0,0,6.0,43.0,26.0,True,True
192,2,0,74000.0,2,4.0,48.0,0.0,True,True
193,0,1,67000.0,2,1.0,49.0,9.0,False,True
194,4,0,82000.0,1,10.0,43.0,0.0,True,True
195,1,1,78000.0,2,6.0,55.0,5.0,True,True
196,4,0,80000.0,0,5.0,26.0,27.0,True,True
197,4,0,80000.0,2,5.0,49.0,6.0,True,True
198,0,1,0.0,2,7.0,44.0,26.0,False,True
199,1,0,66000.0,2,2.0,21.0,8.0,True,True
200,2,0,78000.0,1,8.0,45.0,4.0,True,True
201,3,0,82000.0,1,8.0,27.0,17.0,False,True
202,4,1,87000.0,2,4.0,52.0,23.0,True,True
203,0,1,0.0,0,2.0,34.0,3.0,False,True
204,3,0,66000.0,0,3.0,40.0,0.0,False,True
205,2,1,64000.0,0,1.0,38.0,7.0,False,True
206,4,1,62000.0,1,1.0,22.0,0.0,False,True
207,3,0,75000.0,1,1.0,50.0,23.0,False,True
209,1,0,67000.0,0,3.0,54.0,2.0,False,True
211,1,0,69000.0,1,5.0,49.0,5.0,False,True
212,1,1,80000.0,1,4.0,56.0,24.0,False,True
213,0,0,74000.0,0,8.0,31.0,13.0,True,True
214,2,0,74000.0,1,4.0,36.0,17.0,True,True
215,2,1,71000.0,2,3.0,47.0,8.0,False,True
216,0,1,81000.0,2,5.0,44.0,5.0,True,True
219,4,0,86000.0,1,3.0,46.0,35.0,False,True
220,2,1,75000.0,0,6.0,49.0,2.0,True,True
221,1,1,82000.0,1,8.0,54.0,2.0,True,True
222,0,1,83000.0,0,7.0,58.0,17.0,False,True
223,2,0,82000.0,0,9.0,42.0,19.0,True,True
224,0,1,78000.0,2,5.0,27.0,4.0,True,True
225,2,0,79000.0,1,8.0,23.0,2.0,True,True
226,3,0,79000.0,1,7.0,47.0,10.0,True,True
227,3,0,77000.0,2,3.0,42.0,16.0,True,True
228,0,0,79000.0,1,7.0,20.0,1.0,True,True
229,2,1,77000.0,0,6.0,25.0,8.0,True,True
231,4,0,86000.0,2,9.0,31.0,6.0,True,True
232,1,0,83000.0,1,3.0,53.0,29.0,True,True
233,1,0,62000.0,0,1.0,40.0,1.0,False,True
234,3,1,92000.0,1,4.0,27.0,36.0,False,True
235,2,0,0.0,1,10.0,22.0,10.0,True,True
236,2,1,89000.0,0,10.0,57.0,13.0,False,True
237,2,0,70000.0,2,4.0,44.0,6.0,True,True
238,3,1,82000.0,1,10.0,36.0,3.0,False,True
239,1,1,83000.0,2,8.0,50.0,1.0,True,True
240,4,0,79000.0,0,9.0,41.0,0.0,True,True
241,0,1,79000.0,1,7.0,23.0,6.0,False,True
242,2,1,63000.0,0,2.0,48.0,7.0,True,True
243,4,1,96000.0,0,3.0,60.0,44.0,True,True
244,1,0,74000.0,0,6.0,31.0,11.0,True,True
246,2,1,81000.0,2,5.0,50.0,1.0,True,True
247,4,0,63000.0,1,1.0,50.0,4.0,True,True
248,2,1,64000.0,0,1.0,41.0,12.0,False,True
249,2,0,89000.0,2,10.0,58.0,17.0,True,True
250,1,0,82000.0,1,10.0,38.0,15.0,False,True
251,2,0,82000.0,0,10.0,42.0,1.0,False,True
252,0,1,82000.0,2,8.0,34.0,1.0,True,True
253,4,0,68000.0,0,3.0,55.0,5.0,True,True
255,4,1,78000.0,1,3.0,45.0,-18.0,False,True
256,4,0,85000.0,2,1.0,45.0,32.0,False,True
257,1,0,81000.0,1,10.0,41.0,5.0,False,True
258,0,1,98000.0,1,8.0,49.0,29.0,False,True
259,1,1,79000.0,1,5.0,26.0,7.0,False,True
260,0,0,65000.0,1,1.0,36.0,1.0,False,True
261,1,0,78000.0,0,10.0,51.0,7.0,False,True
262,4,0,101000.0,2,10.0,52.0,35.0,False,True
263,0,0,87000.0,2,9.0,38.0,7.0,False,True
265,0,0,86000.0,2,5.0,35.0,25.0,False,True
266,1,0,88000.0,2,9.0,55.0,2.0,True,True
267,0,0,72000.0,0,5.0,57.0,-11.0,False,True
268,4,1,77000.0,0,7.0,34.0,1.0,False,True
269,4,0,82000.0,0,10.0,40.0,-1.0,True,True
270,0,0,90000.0,1,9.0,23.0,-28.0,True,True
271,3,0,0.0,2,1.0,57.0,10.0,False,True
272,2,0,68000.0,2,2.0,28.0,8.0,False,True
273,2,0,86000.0,0,5.0,60.0,33.0,False,True
274,0,1,82000.0,0,7.0,32.0,-23.0,False,True
275,4,1,87000.0,2,5.0,43.0,15.0,True,True
276,3,1,94000.0,2,10.0,48.0,19.0,False,True
277,2,0,0.0,0,10.0,28.0,6.0,True,True
279,2,0,69000.0,0,4.0,44.0,0.0,False,True
280,4,1,84000.0,1,8.0,21.0,6.0,True,True
281,3,1,77000.0,0,8.0,35.0,7.0,False,True
282,1,0,68000.0,0,3.0,50.0,0.0,True,True
283,3,0,78000.0,1,6.0,55.0,-3.0,False,True
284,4,1,74000.0,2,3.0,51.0,7.0,True,True
285,1,0,73000.0,1,7.0,44.0,3.0,False,True
286,3,1,79000.0,1,2.0,41.0,18.0,False,True
287,3,0,0.0,1,3.0,23.0,4.0,False,True
288,0,1,75000.0,0,5.0,45.0,6.0,True,True
289,3,1,90000.0,1,7.0,60.0,22.0,False,True
290,1,1,86000.0,1,8.0,21.0,5.0,False,True
291,4,1,76000.0,2,3.0,26.0,5.0,True,True
293,2,1,71000.0,2,1.0,55.0,0.0,False,True
294,1,0,75000.0,1,7.0,24.0,-7.0,False,True
295,3,0,74000.0,1,8.0,34.0,0.0,True,True
296,0,1,75000.0,0,2.0,29.0,25.0,False,True
297,2,1,93000.0,1,6.0,30.0,33.0,True,True
298,1,0,67000.0,0,4.0,47.0,-3.0,False,True
299,0,1,75000.0,1,5.0,38.0,0.0,False,True
301,3,0,0.0,1,2.0,57.0,16.0,False,True
302,2,0,76000.0,0,8.0,56.0,13.0,False,True
303,3,0,0.0,2,2.0,30.0,3.0,False,True
304,1,0,77000.0,2,4.0,41.0,9.0,False,True
305,4,1,0.0,1,7.0,39.0,11.0,True,True
306,2,0,70000.0,0,4.0,43.0,1.0,False,True
307,1,1,85000.0,0,8.0,25.0,23.0,False,True
308,2,0,82000.0,1,7.0,50.0,12.0,False,True
309,3,0,81000.0,0,10.0,38.0,10.0,True,True
311,2,1,88000.0,1,6.0,57.0,25.0,False,True
312,1,0,70000.0,2,2.0,29.0,3.0,False,True
313,4,0,69000.0,0,3.0,44.0,0.0,False,True
314,4,1,80000.0,0,9.0,54.0,9.0,False,True
315,0,1,88000.0,2,7.0,27.0,0.0,True,True
316,3,1,86000.0,2,6.0,27.0,11.0,True,True
317,4,1,80000.0,1,7.0,41.0,2.0,False,True
318,3,0,73000.0,1,4.0,50.0,2.0,False,True
319,0,1,95000.0,1,5.0,50.0,33.0,True,True
320,1,1,92000.0,2,10.0,39.0,21.0,False,True
321,3,1,80000.0,0,6.0,47.0,21.0,False,True
322,0,1,0.0,1,8.0,57.0,10.0,True,True
323,4,1,99000.0,1,8.0,57.0,35.0,False,True
324,3,0,73000.0,0,3.0,35.0,16.0,True,True
325,3,0,80000.0,1,5.0,35.0,16.0,True,True
326,4,1,83000.0,0,9.0,50.0,16.0,False,True
327,1,1,73000.0,0,7.0,42.0,4.0,True,True
328,0,0,90000.0,2,1.0,50.0,41.0,True,True
329,2,0,80000.0,1,7.0,58.0,3.0,False,True
330,0,0,73000.0,1,5.0,45.0,-8.0,False,True
331,1,1,71000.0,2,1.0,36.0,9.0,False,True
332,0,0,66000.0,2,2.0,47.0,1.0,False,True
333,0,1,71000.0,1,4.0,46.0,2.0,False,True
334,2,1,91000.0,2,8.0,25.0,7.0,True,True
335,4,0,92000.0,1,9.0,41.0,27.0,True,True
336,1,1,83000.0,0,6.0,40.0,-17.0,True,True
337,0,0,75000.0,1,8.0,20.0,4.0,True,True
338,3,1,67000.0,1,1.0,38.0,10.0,False,True
339,1,1,71000.0,0,2.0,34.0,20.0,False,True
340,1,0,70000.0,1,2.0,46.0,7.0,False,True
341,0,0,83000.0,1,7.0,23.0,19.0,False,True
342,1,0,78000.0,1,5.0,32.0,17.0,False,True
343,3,1,89000.0,2,5.0,31.0,20.0,False,True
344,2,0,66000.0,0,4.0,32.0,3.0,True,True
345,2,0,83000.0,2,6.0,49.0,0.0,True,True
347,2,1,88000.0,1,9.0,31.0,1.0,True,True
348,1,1,82000.0,0,8.0,37.0,20.0,False,True
349,3,0,0.0,2,2.0,57.0,10.0,True,True
350,4,1,68000.0,0,3.0,59.0,9.0,True,True
351,2,0,93000.0,2,7.0,25.0,24.0,True,True
352,4,1,77000.0,1,4.0,38.0,6.0,True,True
353,0,1,100000.0,2,9.0,37.0,22.0,False,True
354,1,0,63000.0,1,1.0,53.0,3.0,False,True
355,4,1,76000.0,1,3.0,35.0,4.0,False,True
356,4,0,92000.0,1,10.0,21.0,17.0,True,True
357,0,0,88000.0,1,10.0,60.0,20.0,False,True
358,4,1,80000.0,0,9.0,46.0,8.0,False,True
359,3,0,81000.0,2,5.0,28.0,24.0,True,True
360,3,0,80000.0,0,10.0,53.0,1.0,False,True
362,1,1,88000.0,2,5.0,55.0,17.0,False,True
363,2,1,65000.0,0,3.0,34.0,4.0,True,True
364,4,0,83000.0,2,1.0,32.0,30.0,False,True
365,0,0,73000.0,0,7.0,47.0,16.0,False,True
366,4,0,0.0,0,7.0,22.0,15.0,False,True
367,0,0,82000.0,2,6.0,46.0,-8.0,False,True
368,4,0,65000.0,1,2.0,20.0,0.0,True,True
369,2,1,77000.0,1,3.0,29.0,12.0,True,True
370,3,0,83000.0,2,8.0,39.0,9.0,False,True
371,3,0,81000.0,2,7.0,39.0,-10.0,True,True
372,3,1,80000.0,1,4.0,58.0,20.0,False,True
373,0,0,66000.0,0,5.0,33.0,6.0,True,True
374,1,0,76000.0,1,6.0,53.0,4.0,True,True
376,0,1,79000.0,1,6.0,28.0,2.0,False,True
377,3,1,95000.0,2,10.0,53.0,0.0,True,True
380,0,1,87000.0,2,6.0,28.0,8.0,True,True
381,1,0,71000.0,0,5.0,57.0,2.0,False,True
382,4,0,76000.0,0,8.0,20.0,0.0,True,True
383,2,0,62000.0,0,3.0,32.0,0.0,False,True
384,0,0,81000.0,1,5.0,44.0,20.0,True,True
385,4,0,81000.0,1,7.0,32.0,24.0,False,True
387,2,0,64000.0,1,1.0,42.0,5.0,True,True
388,0,0,78000.0,1,4.0,33.0,19.0,False,True
389,3,1,79000.0,0,6.0,53.0,4.0,True,True
390,0,0,90000.0,1,8.0,29.0,31.0,False,True
391,4,1,79000.0,1,3.0,26.0,23.0,True,True
392,3,0,64000.0,2,1.0,25.0,7.0,False,True
393,2,0,92000.0,2,7.0,55.0,22.0,False,True
394,3,1,74000.0,0,4.0,35.0,-3.0,True,True
395,2,0,77000.0,0,8.0,39.0,1.0,False,True
396,2,0,83000.0,1,10.0,59.0,-12.0,False,True
397,3,1,84000.0,2,6.0,49.0,3.0,False,True
398,1,0,80000.0,2,1.0,42.0,33.0,True,True
399,0,1,66000.0,1,3.0,20.0,4.0,False,True
400,4,0,65000.0,0,2.0,44.0,-5.0,False,True
401,4,1,75000.0,1,2.0,36.0,15.0,True,True
402,1,1,80000.0,0,10.0,22.0,11.0,False,True
403,3,0,86000.0,2,7.0,60.0,4.0,True,True
404,0,1,81000.0,0,7.0,43.0,20.0,True,True
405,3,0,96000.0,2,5.0,20.0,35.0,True,True
406,0,0,73000.0,2,4.0,58.0,12.0,False,True
407,1,1,85000.0,0,9.0,58.0,9.0,True,True
408,2,0,86000.0,1,6.0,37.0,26.0,False,True
409,2,1,67000.0,2,1.0,40.0,8.0,True,True
410,0,1,66000.0,0,4.0,36.0,0.0,True,True
411,1,1,83000.0,0,9.0,24.0,5.0,True,True
412,0,1,85000.0,1,4.0,42.0,-33.0,True,True
413,1,1,118000.0,2,10.0,24.0,43.0,True,True
414,3,0,91000.0,1,7.0,23.0,27.0,True,True
415,2,0,0.0,0,1.0,42.0,26.0,False,True
416,4,1,78000.0,2,1.0,45.0,12.0,True,True
417,1,0,86000.0,2,5.0,52.0,22.0,True,True
418,4,1,88000.0,2,7.0,38.0,5.0,False,True
419,3,1,75000.0,0,7.0,51.0,12.0,False,True
420,2,0,0.0,2,6.0,40.0,3.0,False,True
421,0,0,79000.0,1,7.0,41.0,6.0,False,True
422,0,0,81000.0,0,10.0,52.0,4.0,False,True
423,4,0,62000.0,0,1.0,40.0,16.0,True,True
424,2,1,89000.0,2,6.0,51.0,13.0,True,True
425,4,0,79000.0,2,8.0,23.0,4.0,False,True
426,4,0,70000.0,2,2.0,40.0,1.0,False,True
427,2,1,81000.0,2,7.0,22.0,-2.0,True,True
428,1,1,81000.0,1,2.0,56.0,29.0,True,True
429,3,1,72000.0,0,4.0,40.0,5.0,False,True
430,0,1,81000.0,1,3.0,25.0,27.0,True,True
431,0,0,101000.0,2,6.0,51.0,41.0,True,True
432,2,1,97000.0,2,7.0,56.0,23.0,False,True
433,4,0,59000.0,0,1.0,41.0,0.0,False,True
434,4,0,81000.0,0,7.0,21.0,27.0,False,True
435,1,1,73000.0,1,3.0,47.0,9.0,False,True
436,2,0,83000.0,2,10.0,59.0,5.0,True,True
437,0,0,80000.0,2,5.0,27.0,7.0,True,True
438,0,0,87000.0,1,7.0,54.0,-32.0,False,True
439,2,0,58000.0,0,1.0,45.0,0.0,False,True
440,1,0,69000.0,0,3.0,49.0,14.0,True,True
441,4,0,70000.0,1,5.0,42.0,4.0,True,True
442,4,1,97000.0,1,10.0,36.0,19.0,False,True
443,3,1,74000.0,2,1.0,54.0,19.0,True,True
444,2,1,78000.0,2,5.0,44.0,11.0,True,True
445,2,1,91000.0,1,9.0,43.0,9.0,True,True
446,2,0,72000.0,1,4.0,53.0,12.0,False,True
448,0,1,78000.0,2,3.0,49.0,0.0,False,True
449,3,0,78000.0,1,8.0,37.0,2.0,False,True
450,4,0,87000.0,0,10.0,43.0,18.0,True,True
451,0,1,86000.0,2,9.0,21.0,12.0,False,True
452,1,0,71000.0,2,2.0,37.0,13.0,False,True
453,1,0,83000.0,1,7.0,23.0,16.0,False,True
454,0,1,98000.0,2,9.0,27.0,30.0,True,True
455,0,1,85000.0,1,8.0,34.0,1.0,True,True
457,1,0,94000.0,1,8.0,52.0,37.0,True,True
458,0,0,0.0,0,10.0,51.0,37.0,False,True
459,1,1,86000.0,1,6.0,46.0,14.0,True,True
460,2,1,71000.0,0,1.0,37.0,24.0,True,True
461,2,1,0.0,2,1.0,56.0,-2.0,True,True
462,1,0,81000.0,0,8.0,54.0,25.0,False,True
463,3,1,88000.0,1,7.0,45.0,14.0,True,True
464,2,0,89000.0,0,7.0,45.0,35.0,True,True
465,3,0,86000.0,0,10.0,20.0,14.0,True,True
466,2,1,72000.0,0,5.0,20.0,10.0,False,True
467,2,1,87000.0,1,8.0,60.0,11.0,True,True
468,0,0,76000.0,1,8.0,40.0,2.0,False,True
469,3,0,70000.0,0,5.0,29.0,6.0,True,True
470,3,1,77000.0,0,1.0,45.0,27.0,False,True
471,4,1,80000.0,1,3.0,27.0,28.0,True,True
472,1,1,75000.0,2,2.0,46.0,3.0,False,True
473,3,0,76000.0,2,6.0,48.0,8.0,True,True
474,2,1,61000.0,0,2.0,26.0,3.0,True,True
475,2,0,89000.0,1,8.0,38.0,31.0,False,True
477,1,1,72000.0,1,4.0,21.0,1.0,True,True
478,4,1,70000.0,0,2.0,49.0,21.0,True,True
479,4,0,75000.0,0,4.0,58.0,19.0,False,True
480,1,1,72000.0,1,6.0,33.0,3.0,False,True
481,1,1,79000.0,2,5.0,24.0,13.0,False,True
483,1,1,86000.0,0,10.0,59.0,1.0,False,True
484,4,1,75000.0,2,2.0,47.0,1.0,False,True
485,4,0,72000.0,2,2.0,31.0,3.0,False,True
486,3,0,80000.0,1,7.0,34.0,3.0,False,True
487,1,0,77000.0,0,8.0,59.0,8.0,False,True
488,3,1,70000.0,1,1.0,27.0,1.0,False,True
490,1,0,69000.0,1,5.0,20.0,4.0,True,True
491,4,0,76000.0,2,4.0,29.0,0.0,False,True
492,2,0,65000.0,2,1.0,58.0,7.0,True,True
493,3,0,0.0,1,4.0,28.0,16.0,True,True
494,1,0,72000.0,0,6.0,21.0,18.0,False,True
495,0,0,74000.0,1,4.0,27.0,14.0,False,True
496,4,1,70000.0,0,1.0,49.0,12.0,True,True
497,0,0,0.0,1,1.0,48.0,0.0,False,True
498,2,1,86000.0,0,4.0,20.0,41.0,False,True
499,2,0,76000.0,0,9.0,53.0,3.0,True,True
500,1,1,0.0,1,6.0,23.0,3.0,False,True
501,4,0,77000.0,1,6.0,37.0,14.0,False,True
502,1,0,66000.0,0,4.0,34.0,17.0,False,True
503,1,0,88000.0,2,9.0,28.0,9.0,False,True
504,2,0,71000.0,1,4.0,40.0,0.0,False,True
505,0,0,67000.0,0,5.0,35.0,-12.0,False,True
506,1,1,84000.0,0,10.0,26.0,7.0,True,True
507,1,0,88000.0,2,1.0,54.0,36.0,True,True
508,4,0,71000.0,0,3.0,36.0,8.0,True,True
509,2,0,80000.0,2,8.0,28.0,0.0,True,True
510,1,0,77000.0,2,1.0,53.0,19.0,True,True
511,1,0,79000.0,2,5.0,23.0,13.0,True,True
512,4,0,74000.0,2,1.0,41.0,17.0,False,True
